Entity ID,Acquisition Date,Month of Acquisition,GEOTIFF Available,GEOTIFF File Size,DEM Available,DEM File Size,Date Updated,Center Latitude,Center Longitude,NW Corner Lat,NW Corner Long,NE Corner Lat,NE Corner Long,SE Corner Lat,SE Corner Long,SW Corner Lat,SW Corner Long,Center Latitude dec,Center Longitude dec,NW Corner Lat dec,NW Corner Long dec,NE Corner Lat dec,NE Corner Long dec,SE Corner Lat dec,SE Corner Long dec,SW Corner Lat dec,SW Corner Long dec,Display ID
GT30ANTARCPS,1996-12-01 00:00:00-06,12,Y,58363712,Y,10536847,2020/08/19,75°00'00"S,0°00'00"E,60°00'00"S,180°00'00"W,60°00'00"S,180°00'00"E,90°00'00"S,180°00'00"E,90°00'00"S,180°00'00"W,-75,0,-60,-180,-60,180,-90,180,-90,-180,GT30ANTARCPS,GT30ANTARCPS
GT30E020N40,1996-12-01 00:00:00-06,12,Y,57648384,Y,26123671,2015/11/19,15°00'00"N,40°00'00"E,40°00'00"N,20°00'00"E,40°00'00"N,60°00'00"E,10°00'00"S,60°00'00"E,10°00'00"S,20°00'00"E,15,40,40,20,40,60,-10,60,-10,20,GT30E020N40,GT30E020N40
GT30E020N90,1996-12-01 00:00:00-06,12,Y,57648384,Y,16991902,2015/11/19,65°00'00"N,40°00'00"E,90°00'00"N,20°00'00"E,90°00'00"N,60°00'00"E,40°00'00"N,60°00'00"E,40°00'00"N,20°00'00"E,65,40,90,20,90,60,40,60,40,20,GT30E020N90,GT30E020N90
GT30E020S10,1996-12-01 00:00:00-06,12,Y,57648384,Y,8261263,2015/11/19,35°00'00"S,40°00'00"E,10°00'00"S,20°00'00"E,10°00'00"S,60°00'00"E,60°00'00"S,60°00'00"E,60°00'00"S,20°00'00"E,-35,40,-10,20,-10,60,-60,60,-60,20,GT30E020S10,GT30E020S10
GT30E060N40,1996-12-01 00:00:00-06,12,Y,57648384,Y,17933795,2015/11/19,15°00'00"N,80°00'00"E,40°00'00"N,60°00'00"E,40°00'00"N,100°00'00"E,10°00'00"S,100°00'00"E,10°00'00"S,60°00'00"E,15,80,40,60,40,100,-10,100,-10,60,GT30E060N40,GT30E060N40
GT30E060N90,1996-12-01 00:00:00-06,12,Y,57648384,Y,22401605,2015/11/19,65°00'00"N,80°00'00"E,90°00'00"N,60°00'00"E,90°00'00"N,100°00'00"E,40°00'00"N,100°00'00"E,40°00'00"N,60°00'00"E,65,80,90,60,90,100,40,100,40,60,GT30E060N90,GT30E060N90
GT30E060S10,1996-12-01 00:00:00-06,12,Y,57648384,Y,112261,2015/11/19,35°00'00"S,80°00'00"E,10°00'00"S,60°00'00"E,10°00'00"S,100°00'00"E,60°00'00"S,100°00'00"E,60°00'00"S,60°00'00"E,-35,80,-10,60,-10,100,-60,100,-60,60,GT30E060S10,GT30E060S10
GT30E060S60,1996-12-01 00:00:00-06,12,Y,51869184,Y,5307362,2015/11/19,75°00'00"S,90°00'00"E,60°00'00"S,60°00'00"E,60°00'00"S,120°00'00"E,90°00'00"S,120°00'00"E,90°00'00"S,60°00'00"E,-75,90,-60,60,-60,120,-90,120,-90,60,GT30E060S60,GT30E060S60
GT30E100N40,1996-12-01 00:00:00-06,12,Y,57648384,Y,14173966,2015/11/19,15°00'00"N,120°00'00"E,40°00'00"N,100°00'00"E,40°00'00"N,140°00'00"E,10°00'00"S,140°00'00"E,10°00'00"S,100°00'00"E,15,120,40,100,40,140,-10,140,-10,100,GT30E100N40,GT30E100N40
GT30E100N90,1996-12-01 00:00:00-06,12,Y,57648384,Y,24993354,2015/11/19,65°00'00"N,120°00'00"E,90°00'00"N,100°00'00"E,90°00'00"N,140°00'00"E,40°00'00"N,140°00'00"E,40°00'00"N,100°00'00"E,65,120,90,100,90,140,40,140,40,100,GT30E100N90,GT30E100N90
GT30E100S10,1996-12-01 00:00:00-06,12,Y,57648384,Y,4360468,2015/11/19,35°00'00"S,120°00'00"E,10°00'00"S,100°00'00"E,10°00'00"S,140°00'00"E,60°00'00"S,140°00'00"E,60°00'00"S,100°00'00"E,-35,120,-10,100,-10,140,-60,140,-60,100,GT30E100S10,GT30E100S10
GT30E120S60,1996-12-01 00:00:00-06,12,Y,51869184,Y,6129495,2015/11/19,75°00'00"S,150°00'00"E,60°00'00"S,120°00'00"E,60°00'00"S,180°00'00"E,90°00'00"S,180°00'00"E,90°00'00"S,120°00'00"E,-75,150,-60,120,-60,180,-90,180,-90,120,GT30E120S60,GT30E120S60
GT30E140N40,1996-12-01 00:00:00-06,12,Y,57648384,Y,1140313,2015/11/19,15°00'00"N,160°00'00"E,40°00'00"N,140°00'00"E,40°00'00"N,180°00'00"E,10°00'00"S,180°00'00"E,10°00'00"S,140°00'00"E,15,160,40,140,40,180,-10,180,-10,140,GT30E140N40,GT30E140N40
GT30E140N90,1996-12-01 00:00:00-06,12,Y,57648384,Y,9222432,2015/11/19,65°00'00"N,160°00'00"E,90°00'00"N,140°00'00"E,90°00'00"N,180°00'00"E,40°00'00"N,180°00'00"E,40°00'00"N,140°00'00"E,65,160,90,140,90,180,40,180,40,140,GT30E140N90,GT30E140N90
GT30E140S10,1996-12-01 00:00:00-06,12,Y,57648384,Y,4059428,2015/11/19,35°00'00"S,160°00'00"E,10°00'00"S,140°00'00"E,10°00'00"S,180°00'00"E,60°00'00"S,180°00'00"E,60°00'00"S,140°00'00"E,-35,160,-10,140,-10,180,-60,180,-60,140,GT30E140S10,GT30E140S10
GT30W000S60,1996-12-01 00:00:00-06,12,Y,51869184,Y,5077803,2015/11/19,75°00'00"S,30°00'00"E,60°00'00"S,0°00'00"E,60°00'00"S,60°00'00"E,90°00'00"S,60°00'00"E,90°00'00"S,0°00'00"E,-75,30,-60,0,-60,60,-90,60,-90,0,GT30W000S60,GT30W000S60
GT30W020N40,1996-12-01 00:00:00-06,12,Y,57648384,Y,16937067,2015/11/19,15°00'00"N,0°00'00"E,40°00'00"N,20°00'00"W,40°00'00"N,20°00'00"E,10°00'00"S,20°00'00"E,10°00'00"S,20°00'00"W,15,0,40,-20,40,20,-10,20,-10,-20,GT30W020N40,GT30W020N40
GT30W020N90,1996-12-01 00:00:00-06,12,Y,57648384,Y,8844375,2015/11/19,65°00'00"N,0°00'00"E,90°00'00"N,20°00'00"W,90°00'00"N,20°00'00"E,40°00'00"N,20°00'00"E,40°00'00"N,20°00'00"W,65,0,90,-20,90,20,40,20,40,-20,GT30W020N90,GT30W020N90
GT30W020S10,1996-12-01 00:00:00-06,12,Y,57648384,Y,2924829,2015/11/19,35°00'00"S,0°00'00"E,10°00'00"S,20°00'00"W,10°00'00"S,20°00'00"E,60°00'00"S,20°00'00"E,60°00'00"S,20°00'00"W,-35,0,-10,-20,-10,20,-60,20,-60,-20,GT30W020S10,GT30W020S10
GT30W060N40,1996-12-01 00:00:00-06,12,Y,57648384,Y,3721504,2015/11/19,15°00'00"N,40°00'00"W,40°00'00"N,60°00'00"W,40°00'00"N,20°00'00"W,10°00'00"S,20°00'00"W,10°00'00"S,60°00'00"W,15,-40,40,-60,40,-20,-10,-20,-10,-60,GT30W060N40,GT30W060N40
GT30W060N90,1996-12-01 00:00:00-06,12,Y,57648384,Y,6819946,2015/11/19,65°00'00"N,40°00'00"W,90°00'00"N,60°00'00"W,90°00'00"N,20°00'00"W,40°00'00"N,20°00'00"W,40°00'00"N,60°00'00"W,65,-40,90,-60,90,-20,40,-20,40,-60,GT30W060N90,GT30W060N90
GT30W060S10,1996-12-01 00:00:00-06,12,Y,57648384,Y,6736826,2015/11/19,35°00'00"S,40°00'00"W,10°00'00"S,60°00'00"W,10°00'00"S,20°00'00"W,60°00'00"S,20°00'00"W,60°00'00"S,60°00'00"W,-35,-40,-10,-60,-10,-20,-60,-20,-60,-60,GT30W060S10,GT30W060S10
GT30W060S60,1996-12-01 00:00:00-06,12,Y,51869184,Y,3554941,2015/11/19,75°00'00"S,30°00'00"W,60°00'00"S,60°00'00"W,60°00'00"S,0°00'00"E,90°00'00"S,0°00'00"E,90°00'00"S,60°00'00"W,-75,-30,-60,-60,-60,0,-90,0,-90,-60,GT30W060S60,GT30W060S60
GT30W100N40,1996-12-01 00:00:00-06,12,Y,57648384,Y,11330246,2015/11/19,15°00'00"N,80°00'00"W,40°00'00"N,100°00'00"W,40°00'00"N,60°00'00"W,10°00'00"S,60°00'00"W,10°00'00"S,100°00'00"W,15,-80,40,-100,40,-60,-10,-60,-10,-100,GT30W100N40,GT30W100N40
GT30W100N90,1996-12-01 00:00:00-06,12,Y,57648384,Y,15656310,2015/11/19,65°00'00"N,80°00'00"W,90°00'00"N,100°00'00"W,90°00'00"N,60°00'00"W,40°00'00"N,60°00'00"W,40°00'00"N,100°00'00"W,65,-80,90,-100,90,-60,40,-60,40,-100,GT30W100N90,GT30W100N90
GT30W100S10,1996-12-01 00:00:00-06,12,Y,57648384,Y,9574061,2015/11/19,35°00'00"S,80°00'00"W,10°00'00"S,100°00'00"W,10°00'00"S,60°00'00"W,60°00'00"S,60°00'00"W,60°00'00"S,100°00'00"W,-35,-80,-10,-100,-10,-60,-60,-60,-60,-100,GT30W100S10,GT30W100S10
GT30W120S60,1996-12-01 00:00:00-06,12,Y,51869184,Y,5674186,2015/11/19,75°00'00"S,90°00'00"W,60°00'00"S,120°00'00"W,60°00'00"S,60°00'00"W,90°00'00"S,60°00'00"W,90°00'00"S,120°00'00"W,-75,-90,-60,-120,-60,-60,-90,-60,-90,-120,GT30W120S60,GT30W120S60
GT30W140N40,1996-12-01 00:00:00-06,12,Y,57648384,Y,6495709,2015/11/19,15°00'00"N,120°00'00"W,40°00'00"N,140°00'00"W,40°00'00"N,100°00'00"W,10°00'00"S,100°00'00"W,10°00'00"S,140°00'00"W,15,-120,40,-140,40,-100,-10,-100,-10,-140,GT30W140N40,GT30W140N40
GT30W140N90,1996-12-01 00:00:00-06,12,Y,57648384,Y,17030241,2015/11/19,65°00'00"N,120°00'00"W,90°00'00"N,140°00'00"W,90°00'00"N,100°00'00"W,40°00'00"N,100°00'00"W,40°00'00"N,140°00'00"W,65,-120,90,-140,90,-100,40,-100,40,-140,GT30W140N90,GT30W140N90
GT30W140S10,1996-12-01 00:00:00-06,12,Y,57648384,Y,89891,2015/11/19,35°00'00"S,120°00'00"W,10°00'00"S,140°00'00"W,10°00'00"S,100°00'00"W,60°00'00"S,100°00'00"W,60°00'00"S,140°00'00"W,-35,-120,-10,-140,-10,-100,-60,-100,-60,-140,GT30W140S10,GT30W140S10
GT30W180N40,1996-12-01 00:00:00-06,12,Y,57648384,Y,132306,2015/11/19,15°00'00"N,160°00'00"W,40°00'00"N,180°00'00"W,40°00'00"N,140°00'00"W,10°00'00"S,140°00'00"W,10°00'00"S,180°00'00"W,15,-160,40,-180,40,-140,-10,-140,-10,-180,GT30W180N40,GT30W180N40
GT30W180N90,1996-12-01 00:00:00-06,12,Y,57648384,Y,5476350,2015/11/19,65°00'00"N,160°00'00"W,90°00'00"N,180°00'00"W,90°00'00"N,140°00'00"W,40°00'00"N,140°00'00"W,40°00'00"N,180°00'00"W,65,-160,90,-180,90,-140,40,-140,40,-180,GT30W180N90,GT30W180N90
GT30W180S10,1996-12-01 00:00:00-06,12,Y,57648384,Y,114784,2015/11/19,35°00'00"S,160°00'00"W,10°00'00"S,180°00'00"W,10°00'00"S,140°00'00"W,60°00'00"S,140°00'00"W,60°00'00"S,180°00'00"W,-35,-160,-10,-180,-10,-140,-60,-140,-60,-180,GT30W180S10,GT30W180S10
GT30W180S60,1996-12-01 00:00:00-06,12,Y,51869184,Y,3498251,2015/11/19,75°00'00"S,150°00'00"W,60°00'00"S,180°00'00"W,60°00'00"S,120°00'00"W,90°00'00"S,120°00'00"W,90°00'00"S,180°00'00"W,-75,-150,-60,-180,-60,-120,-90,-120,-90,-180,GT30W180S60,GT30W180S60
