Year,Month,Tsunami Event Validity,Tsunami Cause Code,Deposits,Country,Location Name,Number of Runups,Earthquake Magnitude,Latitude,Longitude,Maximum Water Height (m),Tsunami Intensity,Total Damage Description,After 1900,Effects of Tsunami,Timeline,Tsunami Cause Code,Factor4,Location
1928,12,3,1,0,CHILE,CENTRAL CHILE,2,7.6,-35,-72,1.5,0.5,3,1,-0.402703931,0.217398948,-0.412556334,-0.608891519,-2.654028373
1929,5,3,1,0,CANADA,BRITISH COLUMBIA,3,7,51,-131,1.5,0,1,1,-0.853653644,0.792675103,0.589439579,-1.775088429,-0.528676302
1930,8,3,3,0,USA,S. CALIFORNIA,3,5.2,34.03,-118.643,3.05,-0.5,1,1,-1.719709312,0.986246147,2.284041629,-2.096680271,-0.527009061
1930,12,4,1,0,PAPUA N,BISMARCK SEA,29,6.5,-1.3,144.3,12,1.5,2,1,-0.702055469,0.491686461,-0.024792151,0.787669777,0.1117434
1931,2,4,3,2,NEW ZEA,N. NEW ZEALAND,5,7.7,-39.772,176.025,15,0,4,1,0.593435976,0.564677656,-0.235016214,-0.657556099,-0.212501749
1931,10,4,1,0,SOLOMON,SAN CRISTOBAL ISLAND,13,7.8,-10.932,161.016,9,2.5,3,1,0.109882542,0.123659832,-0.722822745,0.915191806,-0.29247161
1932,6,4,1,1,MEXICO,CENTRAL MEXICO,19,8.1,19.623,-103.919,10,2,3,1,0.401641572,0.44106839,-0.053975066,0.433496057,-0.874254182
1932,6,4,1,0,MEXICO,CENTRAL MEXICO,2,7.8,19.081,-103.631,1,0.5,2,1,-0.287280375,0.751202022,-0.154914893,0.315497045,-0.730432601
1932,6,4,1,1,MEXICO,CENTRAL MEXICO,6,7.7,19.242,-104.383,10,1.5,3,1,0.171788022,0.54675737,0.042200659,0.277088218,-0.760092102
1933,3,4,1,2,JAPAN,SANRIKU,294,8.4,39.224,144.622,29,3.5,4,1,2.238849101,0.363330725,-0.279608283,-0.00379766,0.984558758
1936,4,4,1,0,INDONES,SULAWESI,2,7.7,4.5,126.5,3,2,2,1,0.005973574,0.460001909,-0.722902569,-0.056469389,0.281830493
1936,7,4,1,0,CHILE,NORTHERN CHILE,3,7.3,-24.5,-70,1,0.5,2,1,-0.464363134,0.742724331,-0.424616643,0.226466661,-1.38551664
1938,2,4,1,0,INDONES,BANDA SEA,5,8.5,-5.041,131.579,1,1.5,2,1,0.327923376,0.481598576,-1.241101434,-0.112825691,0.041682386
1938,6,4,1,0,JAPAN,RYUKYU ISLANDS,1,7.6,25.321,125.115,1.5,0,1,1,-0.579092475,0.827567833,-0.514143686,0.243539971,0.72017807
1938,11,4,1,0,JAPAN,SANRIKU,17,7.7,37.1,141.7,0.57,-0.5,1,1,-0.776852669,0.79953755,-0.338504037,1.078314786,0.751662902
1939,3,4,1,0,JAPAN,SEIKAIDO,4,6.6,32.3,132,0.8,0,1,1,-0.75925864,1.020219548,-0.231603879,-0.61022994,1.358111098
1939,4,3,1,0,SOLOMON,SOLOMON ISLANDS,8,7.9,-9.295,159.234,10.5,1.5,2,1,0.028345165,0.225974801,-0.849449829,-1.694363648,-0.509821637
1939,5,4,1,0,JAPAN,NW. HONSHU ISLAND,25,7,40.1,139.5,1.2,0,2,1,-0.4086971,0.874222597,-0.30866818,-0.174428393,1.318820193
1939,5,4,1,0,PORTUGA,AZORES,2,6.7,37.198,-24.356,0.2,1,2,1,-0.537519307,0.824396656,0.210463124,-0.239119329,0.407750832
1939,12,4,1,0,TURKEY,SOUTH BLACK SEA,11,7.8,39.907,39.586,0.53,4,3,1,0.090895508,-0.000935041,0.123509791,1.320757326,-0.063559967
1940,8,4,1,1,JAPAN,W. HOKKAIDO ISLAND,62,7.5,44.2,139.5,5,1.5,2,1,0.03080438,0.587045417,-0.115012931,0.516756415,1.048967283
1941,1,4,1,0,PAPUA N,BISMARCK SEA,3,7.4,-4.175,152.071,0.15,-2.5,2,1,-0.398550738,1.214986167,-1.251732876,-0.780432279,0.700611437
1941,11,4,1,0,JAPAN,SEIKAIDO,11,7.4,32,132.1,1.2,0,1,1,-0.84577054,0.764206889,-0.212767104,0.976044182,0.648155686
1941,12,4,1,0,COSTA R,COSTA RICA-PANAMA,5,7.6,8.7,-83.2,0.21,-3,2,1,-0.971075095,1.165484254,-0.285652928,1.106051488,-1.000269374
1941,12,4,1,0,COSTA R,COSTA RICA-PANAMA,1,6.9,8.5,-84,0.12,-4,1,1,-1.556987218,1.471354156,-0.043286704,0.861285504,-0.758309669
1942,8,4,3,0,PERU,S. PERU,3,8.2,-15,-76,2,1,3,1,-0.022921304,0.484560743,0.529938003,0.611285631,-1.602566275
1944,12,4,1,0,JAPAN,OFF SOUTHEAST COAST KII PENINSUL,156,8.1,34,137.1,10,2.5,3,1,0.603529385,0.296045336,-0.230100834,1.357740001,0.359935631
1945,1,4,1,0,JAPAN,TOKAIDO,7,7.1,34.7,137.2,1,-0.5,4,1,0.175404945,0.854863715,-0.733779106,-0.871780327,1.384413149
1946,4,4,3,11,USA,"UNIMAK ISLAND, AK",621,8.6,53.492,-162.832,42,4,4,1,4.449951018,0.911792443,2.408630039,-0.039612485,-0.254756937
1946,6,4,3,1,CANADA,BRITISH COLUMBIA,5,7.3,49.87,-124.92,9,2,1,1,-0.502880052,0.758747999,1.852281578,0.15047768,-0.14552915
1946,12,4,1,1,JAPAN,HONSHU: S COAST,304,8.1,33,135.6,6.6,2.5,4,1,1.496843662,0.397012734,-0.264671187,1.22878534,0.395543235
1947,3,3,3,0,NEW ZEA,OFF COAST OF NORTH ISLAND,10,7.1,-38.85,178.87,10,3,1,1,-0.339460157,0.186919743,0.418962808,-2.2301717,-0.823449952
1947,10,3,3,0,GREECE,"PELOPONNESUS, GREECE",1,7.3,36.808,21.916,1,2,4,1,-0.118158114,0.061659819,1.262996784,-1.076399962,-0.575710145
1947,11,4,1,0,JAPAN,W. HOKKAIDO ISLAND,4,7,43.8,141,2,1,1,1,-0.902305174,0.680856499,0.103640324,0.86713999,0.999400029
1948,2,4,1,0,GREECE,"DODECANESE, KARPATHOS IS.",11,7.3,35.64,27.158,7.3,4,1,1,-0.071437392,0.466147295,0.150538955,-0.379195667,0.549679949
1948,4,4,1,0,GREECE,IONIAN SEA,1,6.5,38.532,20.427,1,4,3,1,-0.001017249,0.35193107,0.320489526,-0.450020072,0.635702417
1949,7,3,1,0,GREECE,"CHIOS ISLAND, AEGEAN ISLANDS",4,6.5,38.718,26.482,2,2,4,1,-0.134942947,0.235002989,0.297293253,-1.753517828,-0.080827713
1950,10,4,1,0,COSTA R,COSTA RICA-NICARAGUA,11,7.7,11,-85,2,-2,1,1,-0.956629421,1.168476347,-0.191993385,0.888334874,-0.896058968
1950,10,4,1,0,GUATEMA,GUATEMALA,5,7.5,14.31,-91.917,0.2,-1,3,1,-0.472019071,0.88394367,-0.171127379,0.759022958,-0.891634439
1951,8,4,1,0,USA,HAWAII,7,6.9,19.5,-156,3.6,0.5,1,1,-0.909131865,0.984723365,0.47219766,0.35160342,-0.875360884
1952,3,4,1,0,JAPAN,SE. HOKKAIDO ISLAND,219,8.1,42.15,143.85,6.54,2,3,1,1.197844444,0.665613555,-0.566482414,-0.133111417,1.164658013
1952,3,4,1,0,JAPAN,SE. HOKKAIDO ISLAND,4,7,41.7,143.6,0.3,-2,2,1,-0.593340385,1.226067566,-0.547476555,-0.538227008,1.569586176
1952,11,4,1,6,RUSSIA,KAMCHATKA,328,9,52.755,160.057,23,4,2,1,2.256146111,0.352154413,0.222113006,1.498202893,0.811822089
1953,9,4,3,2,FIJI,FIJI ISLANDS,31,6.4,-18.3,178.2,15,1,2,1,-0.4531347,0.69418101,0.916444299,0.095693689,0.164222742
1953,11,4,1,0,JAPAN,"KASHIMA, JAPAN",33,7.4,34,141.7,3,1.5,1,1,-0.607920206,0.600892588,-0.071072803,1.006706022,0.675823737
1953,12,4,1,0,PERU,N. PERU,2,7.4,-3.4,-80.6,1,0.5,2,1,-0.681778177,0.696614896,-0.051236942,1.094918881,-1.344786262
1955,4,4,1,0,CHILE,CENTRAL CHILE,7,7.1,-30,-72,1,1,1,1,-0.557504909,0.897601866,-0.393803884,-0.294433692,-1.283990082
1956,7,4,1,3,GREECE,CYCLADES,100,7.7,36.664,25.957,30,5,3,1,1.132002994,0.146347375,0.573437304,0.519453927,0.122495463
1957,3,4,1,6,USA,"ANDREANOF ISLANDS, AK",332,8.6,51.292,-175.629,32,3,3,1,2.563300372,0.835197715,0.786625416,0.078738286,-0.418893082
1957,7,4,1,0,MEXICO,S. MEXICO,3,7.9,16.5,-99.1,1.3,0.5,4,1,0.184290758,0.625922122,-0.331793697,0.427836187,-0.899978623
1958,7,4,3,2,USA,"SE. ALASKA, AK",17,7.8,58.37,-136.665,524.6,5,1,1,0.737050375,0.066223237,8.21465051,2.568842753,-1.225698052
1958,11,4,1,0,RUSSIA,S. KURIL ISLANDS,60,8.3,44.53,148.54,5,2.5,2,1,0.126671359,0.317339497,-0.272533763,1.336426414,0.63075918
1960,3,4,1,0,JAPAN,SANRIKU,19,7.5,39.8,143.4,1,-2,1,1,-0.609647012,1.287294958,-0.651882305,-0.319553099,1.413782693
1960,5,4,1,0,CHILE,CENTRAL CHILE,7,8.2,-37.872,-73.243,0.5,-1,1,1,-0.442098882,1.047633782,-0.97549121,0.220690188,-1.728190055
1960,5,4,1,27,CHILE,SOUTHERN CHILE,1279,9.5,-38.143,-73.407,25,4,4,1,9.236935721,1.608786543,0.663767757,-0.192396253,-1.34322421
1960,11,3,1,0,PERU,N. PERU,19,6.8,-6.8,-80.7,9,4,1,1,-0.680535143,0.126036728,0.636247927,-0.860256062,-1.971494125
1961,2,4,1,0,JAPAN,SEIKAIDO,34,7.6,31.6,131.8,0.65,-0.5,2,1,-0.084255212,1.015091724,-0.732727594,-0.464623582,1.136292454
1961,7,3,1,0,VANUATU,VANUATU ISLANDS,2,7.3,-18.421,168.411,0.9,-0.5,1,1,-0.777260869,0.655410346,-0.825253067,-1.49520193,-0.563246329
1962,5,4,1,0,MEXICO,S. MEXICO,1,7,17.2,-99.6,0.81,0,2,1,-0.553588555,1.025403537,0.02557353,-0.166436333,-0.464706651
1963,2,4,1,0,TAIWAN,E. TAIWAN-RYUKYU ISLANDS,2,7.3,24.4,122.1,0.2,-2,2,1,-0.451351973,1.239214062,-0.801593567,-0.608375183,1.067215053
1963,9,4,1,0,TURKEY,MARMARA SEA,1,6.2,40.698,29.159,1,3,2,1,-0.67235658,0.547689815,0.611515749,0.257564751,0.558046356
1964,3,4,3,20,USA,"PRINCE WILLIAM SOUND, AK",426,9.2,61.017,-147.648,51.8,3.5,4,1,5.095996054,0.865578498,2.664273991,-0.03808504,-0.013225406
1964,5,4,1,0,JAPAN,NW. HONSHU ISLAND,35,6.9,40.3,139,0.6,0,2,1,-0.403807424,0.97281844,-0.271558329,-0.223304546,1.33927621
1964,6,4,1,1,JAPAN,NW. HONSHU ISLAND,168,7.5,38.65,139.2,5.8,2,4,1,1.040154563,0.579052722,-0.312679571,0.078298115,1.021510898
1965,2,4,1,0,USA,"RAT ISLANDS, ALEUTIAN ISLANDS, A",83,8.7,51.29,178.55,10.7,2.5,1,1,0.541128261,0.582469652,-0.604053739,0.091402802,1.390204556
1965,7,4,1,0,USA,"FOX ISLANDS, ALEUTIAN ISLANDS, A",3,6.5,53.03,-167.55,0.08,-2,1,1,-1.28602349,1.495935659,0.679512257,0.014736664,0.035936944
1965,7,3,3,0,GREECE,NORTH CORINTH GULF,2,6.1,38.384,22.545,3,2,3,1,-0.603519013,0.405111239,1.689709545,-1.964942876,-0.024850994
1965,8,4,1,0,VANUATU,VANUATU ISLANDS,4,7,-15.8,167.2,7,2.5,2,1,-0.324925359,0.428057301,-0.520575523,0.312952485,-0.020653724
1966,3,3,1,0,TAIWAN,E. TAIWAN-RYUKYU ISLANDS,5,7.6,24.1,122.6,0.1,0,2,1,-0.224532784,0.636009286,-0.622032379,-1.998078308,0.198926342
1966,10,4,1,0,PERU,CENTRAL PERU,60,8.1,-10.748,-78.638,3,1.5,4,1,0.438713447,0.443490014,-0.4781966,0.952676421,-1.623638785
1966,12,4,1,0,CHILE,NORTHERN CHILE,13,7.8,-25.5,-70.7,0.42,0.5,1,1,-0.733795422,0.75665344,-0.347406854,1.243814401,-1.842191693
1968,2,4,1,0,GREECE,"LEMNOS ISLAND, NORTH AEGEAN SEA",3,7.2,39.368,24.957,1.2,3,1,1,-0.243134047,0.682927928,0.076138792,-0.459088184,0.682776451
1968,4,4,1,0,JAPAN,SEIKAIDO,62,7.5,32.3,132.5,3.07,1,2,1,0.046136653,0.814720969,-0.464819239,-0.148381663,0.997667242
1968,5,4,1,1,JAPAN,OFF EAST COAST OF HONSHU ISLAND,329,8.2,40.8,143.2,6,2,4,1,1.898860792,0.708769008,-0.541295004,0.119618527,1.021011994
1968,8,4,1,0,INDONES,N. MOLUCCAS ISLANDS,22,7.6,1.4,126.2,0.4,1,1,1,-0.481712277,0.728594401,-0.590832225,0.53776893,0.056497043
1968,8,4,1,0,INDONES,BANDA SEA,7,7.8,0.2,119.8,10,2.5,3,1,0.170345485,0.303982231,-0.582408202,0.611520611,-0.183184057
1969,2,4,1,0,INDONES,MAKASSAR STRAIT,5,7,-3.201,118.904,4,2,3,1,0.124447755,0.603601424,-0.663192101,-0.692950748,0.354790252
1969,8,4,1,0,RUSSIA,S. KURIL ISLANDS,75,8.2,43.6,147.9,5,2,1,1,0.001385687,0.598441968,-0.313653186,0.833900632,0.859637224
1969,11,4,1,8,RUSSIA,KAMCHATKA,16,7.7,57.7,163.6,15,3,1,1,0.607124024,0.466097273,0.640728036,1.081095938,1.270780709
1970,10,4,3,0,PAPUA N,PAPUA NEW GUINEA,3,7.3,-4.907,145.471,3,0.5,2,1,-0.637304592,0.673830982,0.553435514,0.602117021,-0.055852192
1971,7,4,1,0,CHILE,CENTRAL CHILE,1,7.8,-32.5,-71.2,0.6,0,4,1,0.125734627,0.690583747,-0.8632718,0.306301435,-1.729272944
1971,7,4,1,0,PAPUA N,SOLOMON SEA,32,7.9,-5.5,153.9,6,1,1,1,-0.28049555,0.711211392,-0.792835259,0.493362134,0.034475505
1971,7,4,1,0,PAPUA N,SOLOMON SEA,39,7.9,-4.9,153.2,10,1.5,2,1,0.038362611,0.563447124,-0.773232931,0.479694917,-0.001964491
1971,8,4,1,0,JAPAN,JAPAN TRENCH,17,7.3,41.4,143.5,0.51,-0.5,1,1,-0.765393955,1.014302273,-0.269303792,0.443002659,1.125353478
1971,9,4,1,0,RUSSIA,TATAR STRAIT,29,7.1,46.5,141.2,2,1,1,1,-0.683531551,0.814990093,0.02855911,0.570943738,1.149373825
1972,1,4,1,0,TAIWAN,E. TAIWAN,2,7.5,22.5,122.3,0.05,-2,1,1,-0.574457557,1.344184528,-0.852149895,-0.660971379,1.050774953
1972,7,4,3,0,USA,"SE. ALASKA, AK",3,7.6,56.82,-135.685,0.1,-2,1,1,-1.007562877,1.368341824,1.410770129,0.323813197,-0.047189315
1972,12,4,1,0,JAPAN,CHICHI JIMA,39,7.4,33.3,140.7,0.5,-1,1,1,-0.889427001,1.009539005,-0.258232202,1.094774466,0.699770221
1973,6,4,1,0,JAPAN,HOKKAIDO ISLAND,72,7.7,43.2,145.8,5.96,1,2,1,0.056964209,0.7749558,-0.352983263,0.267237579,1.116370582
1974,2,4,1,0,SOLOMON,SOLOMON ISLANDS,4,7.1,-7.4,155.6,4.5,2,2,1,-0.069969861,0.663089033,-0.740640612,-0.626452673,0.4531133
1974,5,4,1,0,JAPAN,TOKAIDO,5,6.7,34.6,138.7,0.2,-2.5,2,1,-0.829630277,1.353978811,-0.459150403,-0.353775425,1.364823861
1974,10,4,1,0,PERU,CENTRAL PERU,35,8.1,-12.27,-77.79,0.92,1,3,1,0.058907075,0.593458848,-0.487527179,0.977756554,-1.620200377
1975,6,4,1,0,RUSSIA,S. KURIL ISLANDS,52,7,43.024,147.734,5.5,2,2,1,-0.143817564,0.693800765,-0.04501625,0.032408323,1.260771892
1975,7,4,1,0,PAPUA N,SOLOMON SEA,18,7.9,-6.59,155.054,2,1,3,1,0.141535742,0.545226236,-1.007527576,0.403236919,-0.021583491
1975,10,4,1,0,PHILIPP,PHILIPPINE TRENCH,28,7.6,12.54,125.993,3,-1.5,1,1,-0.810721457,1.08739549,-0.573726555,0.824816634,0.267774321
1975,11,4,3,1,USA,HAWAII,77,7.7,19.451,-155.033,14.3,3,2,1,0.008708773,0.527041787,1.771047774,1.040868909,-1.413601166
1976,8,4,1,0,PHILIPP,MORO GULF,28,8,6.292,124.09,9,2.5,4,1,0.548083994,0.250136618,-0.687180085,0.641253075,-0.100766431
1977,4,4,1,0,SAMOA,SAMOA ISLANDS,2,7.6,-16.696,-172.095,0.08,-2,1,1,-0.75153568,1.405255701,-0.456421952,-0.148878101,-1.561933945
1977,4,4,1,0,SOLOMON,SOLOMON ISLANDS,6,6.8,-9.828,163.323,0.15,-1,3,1,-0.325736097,1.019014398,-0.961091477,-0.545174205,0.52005486
1977,4,4,1,0,SOLOMON,SOLOMON ISLANDS,5,8.1,-9.965,160.731,0.04,-1.5,3,1,0.048051578,0.939526781,-1.454775738,-0.069402736,0.173462692
1977,8,4,1,0,INDONES,SUNDA ISLANDS,16,8,-11.085,118.464,15,3,2,1,0.094130213,0.313569606,-0.577408857,0.735903501,-0.491553695
1978,6,4,1,0,JAPAN,SANRIKU,31,7.7,38.19,142.03,0.6,0.5,4,1,0.329583449,0.654913059,-0.654574528,0.166379703,0.964956261
1979,4,4,1,0,MONTENE,MONTENEGRO,6,6.9,42.096,19.209,3,1,4,1,0.085087111,0.76401133,-0.064435742,-0.402251489,0.688253642
1979,12,4,1,1,COLOMBI,"COLOMBIA: OFF SHORE, PACIFIC OCE",54,8.1,1.555,-79.276,6,2.5,3,1,0.312571574,0.388201655,-0.049798576,1.344510056,-1.510548817
1980,1,4,1,0,PORTUGA,AZORES,2,6.9,38.727,-27.75,0.41,1,3,1,-0.041716758,0.933257149,-0.0539678,-0.853095899,0.570755575
1980,10,4,3,0,ALGERIA,EL ASNAM,6,7.1,36.199,1.374,0.7,2,4,1,-0.128057844,0.465684104,1.281257363,0.545683781,-0.023810954
1981,2,4,1,0,GREECE,ATHENS-EASTERN GULF OF CORINTH,4,6.7,38.222,22.934,1,3,4,1,0.310805296,0.537836259,0.018822974,-0.767648649,0.718857552
1981,9,4,1,0,SAMOA,SAMOA ISLANDS,4,7.7,-14.96,-173.085,1,-2,1,1,-0.946307121,1.299929973,-0.275694267,0.698331827,-1.866678529
1983,5,4,1,6,JAPAN,"NOSHIRO, JAPAN",230,7.8,40.462,139.102,14.93,2,4,1,2.054815299,0.742822448,-0.067295722,-0.053530958,1.140878208
1983,10,4,1,0,CHILE,NORTHERN CHILE,1,7.7,-26.535,-70.563,0.2,0.2,2,1,-0.506109803,0.811507234,-0.498795927,0.837384261,-1.733358411
1992,4,4,1,0,USA,"CAPE MENDOCINO, N. CALIFORNIA",14,7.2,40.368,-124.316,1.8,0.5,4,1,0.119717049,0.926612414,0.097689374,-0.292878171,-0.180370765
1992,9,4,1,8,NICARAG,NICARAGUA,83,7.6,11.5,-87.609,9.9,2.8,4,1,1.546440408,0.546113214,0.47213508,0.527064149,-0.919591783
1992,12,4,3,9,INDONES,FLORES SEA,111,7.8,-8.48,121.896,26.2,2.7,4,1,1.687993741,0.368003818,1.238308156,0.958931394,-0.471550364
1993,7,4,1,19,JAPAN,SEA OF JAPAN,196,7.7,42.851,139.197,32,3.1,4,1,3.583440413,0.676765292,0.979999292,0.094381091,1.268478012
1994,1,3,1,0,USA,"WEST COAST, USA",0,6.7,34.213,-118.537,0.1,-3,4,1,-0.349386404,1.280465424,-0.10766781,-2.757443335,-0.446802232
1994,1,4,1,0,INDONES,HALMAHERA,3,7,1.015,127.733,2,1.5,2,1,-0.123745804,0.852892069,-0.665571348,-0.834981953,0.581943439
1994,6,4,1,5,INDONES,SOUTH OF JAVA,74,7.8,-10.477,112.835,13.9,2.5,2,1,0.911114892,0.627551135,-0.352769905,0.205802013,-0.192058535
1994,9,4,1,0,USA,N. CALIFORNIA,1,7,40.402,-125.68,0.07,-3,1,1,-1.302360065,1.590087256,0.288316271,0.473440209,-0.232048081
1994,10,4,1,2,RUSSIA,S. KURIL ISLANDS,118,8.3,43.773,147.321,10.4,2.6,3,1,0.894851118,0.434523283,-0.20024582,1.091654343,0.681965444
1994,10,4,1,0,INDONES,HALMAHERA,1,6.8,-1.258,127.98,3,1.5,2,1,-0.618434044,0.674411545,-0.27154469,0.541575749,0.037170267
1994,11,4,1,3,PHILIPP,PHILIPPINE ISLANDS,56,7.1,13.525,121.067,7.3,2.1,2,1,0.068468163,0.638187457,0.07196322,0.788491308,0.216106351
1995,1,4,1,0,JAPAN,"KOBE, JAPAN",2,6.9,34.59,135.069,0.34,-2,4,1,-0.0572828,1.24370962,-0.778468077,-0.991880416,1.462776414
1995,5,4,3,0,INDONES,TIMOR SEA,2,6.9,-8.452,125.049,4,1.5,1,1,-0.673769611,0.846644791,0.691741258,-0.29491341,0.135208809
1995,5,4,1,0,RUSSIA,SAKHALIN ISLAND,2,7.1,52.629,142.827,0.1,-2,4,1,-0.186289181,1.145166609,-0.553428873,-0.251278385,1.582208788
1995,6,4,3,1,GREECE,GULF OF CORINTH: AIYION,2,6.5,38.401,22.283,1,3,4,1,0.083682846,0.519447083,1.447412652,-0.320434669,0.508579304
1995,7,4,1,3,CHILE,NORTHERN CHILE,91,8,-23.34,-70.294,3,1.5,2,1,0.573837643,0.821362424,-0.380907564,0.417519907,-1.532885534
1995,8,4,1,0,PAPUA N,SOLOMON SEA,2,7.7,-5.799,154.178,0.28,-1.5,1,1,-0.760939018,1.119705745,-0.955507594,0.506986827,0.116398413
1995,9,3,1,0,MEXICO,S. MEXICO,1,7.4,16.779,-98.597,0.4,-1,2,1,-0.748645079,0.870151316,0.04506867,-1.109546534,-1.429602327
1995,10,4,1,1,MEXICO,S. MEXICO,34,8,19.055,-104.205,11,2.5,2,1,0.055971496,0.57826403,0.263948855,1.07366444,-1.136038068
1995,10,4,1,0,JAPAN,RYUKYU ISLANDS,42,7.1,27.929,130.175,2.59,1.5,1,1,-0.623638669,0.794903393,-0.029093839,0.712657238,0.611923513
1996,1,4,1,0,INDONES,SULAWESI,16,7.9,0.729,119.931,3.43,1.8,2,1,0.250683653,0.726854231,-0.923255321,-0.490322547,0.279502902
1996,2,4,1,1,INDONES,IRIAN JAYA,115,8.2,-0.891,136.952,7.7,1.8,2,1,0.796810038,0.777426912,-0.921479448,-0.261446617,0.247463106
1996,2,4,1,1,PERU,N. PERU,59,7.5,-9.593,-79.587,5.04,1.9,1,1,0.072091232,0.97515618,-0.215621397,-0.450972974,-0.911439387
1996,10,4,1,0,JAPAN,KYUSHU ISLAND,6,6.7,31.885,131.468,0.55,0.5,1,1,-0.991333314,0.955292807,0.034506371,0.551072608,0.841465929
1996,11,4,1,0,PERU,S. PERU,3,7.7,-14.993,-75.675,0.4,-1,4,1,-0.1976167,0.856989027,-0.582554407,0.90711059,-1.574633306
1997,4,4,1,0,SOLOMON,SANTA CRUZ IS. VANUATU,41,7.7,-12.584,166.676,3,-2,1,1,-0.472484617,1.315319797,-1.192496366,-0.163984673,0.318108819
2002,1,4,1,0,VANUATU,VANUATU ISLANDS,2,7.2,-17.6,167.856,3,-4.14,1,1,-0.851700443,1.719435284,-1.35303819,-0.87518769,0.61311509
2002,9,4,1,0,PAPUA N,BISMARCK SEA,88,7.6,-3.26,142.94,5.5,1.08,3,1,0.210779678,0.69155756,-0.699138373,0.601755845,-0.054441028
2003,1,4,1,1,MEXICO,S. MEXICO,6,7.5,18.77,-104.104,0.61,0.5,3,1,0.235909914,1.043023213,-0.257356406,-0.678814965,-0.386215471
2003,5,4,1,1,ALGERIA,N. ALGERIA,39,6.8,36.964,3.634,3,1.5,4,1,0.301871667,0.803825011,0.095832241,-0.308450943,0.462960201
